asset,slot_key,slot_start_ts,slot_end_ts,slot_start_utc,polymarket_resolution,kalshi_resolution,polymarket_settlement_value_usd,kalshi_settlement_value_usd,source,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes
bnb,bnb:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,567.35,official-venue-resolution,f,f,f
btc,btc:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,64140.38,official-venue-resolution,f,f,f
doge,doge:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,0.0719828,official-venue-resolution,f,f,f
eth,eth:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,1867.28,official-venue-resolution,f,f,f
hype,hype:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,57.8495,official-venue-resolution,f,f,f
sol,sol:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,74.2592,official-venue-resolution,f,f,f
xrp,xrp:1784997000000,1784997000000,1784997900000,2026-07-25T16:30:00Z,UP,YES,,1.1008,official-venue-resolution,f,f,f
bnb,bnb:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,NO,,567.28,official-venue-resolution,f,f,f
btc,btc:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,64148.63,official-venue-resolution,f,f,f
doge,doge:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,0.0720772,official-venue-resolution,f,f,f
eth,eth:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,NO,,1866.47,official-venue-resolution,f,f,f
hype,hype:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,57.9002,official-venue-resolution,f,f,f
sol,sol:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,DOWN,YES,,74.2682,official-venue-resolution,t,t,f
xrp,xrp:1784997900000,1784997900000,1784998800000,2026-07-25T16:45:00Z,UP,YES,,1.1018,official-venue-resolution,f,f,f
bnb,bnb:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,566.9,official-venue-resolution,f,f,f
btc,btc:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,64146.03,official-venue-resolution,f,f,f
doge,doge:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,0.0722296,official-venue-resolution,f,f,f
eth,eth:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,1867.34,official-venue-resolution,f,f,f
hype,hype:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,57.8373,official-venue-resolution,f,f,f
sol,sol:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,UP,YES,,74.2778,official-venue-resolution,f,f,f
xrp,xrp:1784998800000,1784998800000,1784999700000,2026-07-25T17:00:00Z,DOWN,NO,,1.1009,official-venue-resolution,f,f,f
bnb,bnb:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,567.72,official-venue-resolution,f,f,f
btc,btc:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,64209.96,official-venue-resolution,f,f,f
doge,doge:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,0.0725916,official-venue-resolution,f,f,f
eth,eth:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,1869.87,official-venue-resolution,f,f,f
hype,hype:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,58.0459,official-venue-resolution,f,f,f
sol,sol:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,74.4183,official-venue-resolution,f,f,f
xrp,xrp:1784999700000,1784999700000,1785000600000,2026-07-25T17:15:00Z,UP,YES,,1.1026,official-venue-resolution,f,f,f
bnb,bnb:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,568.35,official-venue-resolution,f,f,f
btc,btc:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,64226.69,official-venue-resolution,f,f,f
doge,doge:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,0.0731582,official-venue-resolution,f,f,f
eth,eth:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,1872.05,official-venue-resolution,f,f,f
hype,hype:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,58.3697,official-venue-resolution,f,f,f
sol,sol:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,74.5412,official-venue-resolution,f,f,f
xrp,xrp:1785000600000,1785000600000,1785001500000,2026-07-25T17:30:00Z,UP,YES,,1.1069,official-venue-resolution,f,f,f
bnb,bnb:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,567.92,official-venue-resolution,f,f,f
btc,btc:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,64194.27,official-venue-resolution,f,f,f
doge,doge:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,UP,YES,,0.0731923,official-venue-resolution,f,f,f
eth,eth:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,1871.01,official-venue-resolution,f,f,f
hype,hype:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,58.239,official-venue-resolution,f,f,f
sol,sol:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,74.4043,official-venue-resolution,f,f,f
xrp,xrp:1785001500000,1785001500000,1785002400000,2026-07-25T17:45:00Z,DOWN,NO,,1.1023,official-venue-resolution,f,f,f
bnb,bnb:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,UP,YES,,568.3,official-venue-resolution,f,f,f
btc,btc:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,UP,YES,,64299.6,official-venue-resolution,f,f,f
doge,doge:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,DOWN,NO,,0.0731917,official-venue-resolution,f,f,f
eth,eth:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,UP,YES,,1872.36,official-venue-resolution,f,f,f
hype,hype:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,UP,YES,,58.3733,official-venue-resolution,f,f,f
sol,sol:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,UP,YES,,74.49,official-venue-resolution,f,f,f
xrp,xrp:1785002400000,1785002400000,1785003300000,2026-07-25T18:00:00Z,DOWN,NO,,1.1021,official-venue-resolution,f,f,f
bnb,bnb:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,568.6,official-venue-resolution,f,f,f
btc,btc:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,64349.44,official-venue-resolution,f,f,f
doge,doge:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,DOWN,NO,,0.0730804,official-venue-resolution,f,f,f
eth,eth:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,1873.51,official-venue-resolution,f,f,f
hype,hype:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,58.467,official-venue-resolution,f,f,f
sol,sol:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,74.5017,official-venue-resolution,f,f,f
xrp,xrp:1785003300000,1785003300000,1785004200000,2026-07-25T18:15:00Z,UP,YES,,1.1026,official-venue-resolution,f,f,f
bnb,bnb:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,NO,,568.42,official-venue-resolution,f,f,f
btc,btc:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,NO,,64342.53,official-venue-resolution,f,f,f
doge,doge:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,NO,,0.0730548,official-venue-resolution,f,f,f
eth,eth:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,NO,,1872.82,official-venue-resolution,f,f,f
hype,hype:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,NO,,58.4023,official-venue-resolution,f,f,f
sol,sol:1785004200000,1785004200000,1785005100000,2026-07-25T18:30:00Z,DOWN,YES,,74.5453,official-venue-resolution,t,t,f
