asset,slot_key,slot_start_ts,slot_end_ts,slot_start_utc,polymarket_resolution,kalshi_resolution,polymarket_settlement_value_usd,kalshi_settlement_value_usd,source,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes,polymarket_benchmark_conflict,kalshi_benchmark_conflict
btc,btc:1784224800000,1784224800000,1784225700000,2026-07-16T18:00:00Z,UP,YES,,64165.07,official-venue-resolution,f,f,f,f,f
doge,doge:1784224800000,1784224800000,1784225700000,2026-07-16T18:00:00Z,UP,YES,,0.0734182,official-venue-resolution,f,f,f,f,f
eth,eth:1784224800000,1784224800000,1784225700000,2026-07-16T18:00:00Z,UP,YES,,1873.68,official-venue-resolution,f,f,f,f,f
sol,sol:1784224800000,1784224800000,1784225700000,2026-07-16T18:00:00Z,UP,YES,,75.7323,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784224800000,1784224800000,1784225700000,2026-07-16T18:00:00Z,DOWN,YES,,1.0941,official-venue-resolution,t,t,f,f,f
btc,btc:1784225700000,1784225700000,1784226600000,2026-07-16T18:15:00Z,UP,YES,,64197.82,official-venue-resolution,f,f,f,f,f
doge,doge:1784225700000,1784225700000,1784226600000,2026-07-16T18:15:00Z,UP,YES,,0.073492,official-venue-resolution,f,f,f,f,f
eth,eth:1784225700000,1784225700000,1784226600000,2026-07-16T18:15:00Z,UP,YES,,1874.64,official-venue-resolution,f,f,f,f,f
sol,sol:1784225700000,1784225700000,1784226600000,2026-07-16T18:15:00Z,UP,YES,,75.7852,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784225700000,1784225700000,1784226600000,2026-07-16T18:15:00Z,DOWN,NO,,1.0935,official-venue-resolution,f,f,f,f,f
btc,btc:1784226600000,1784226600000,1784227500000,2026-07-16T18:30:00Z,DOWN,NO,,64102.98,official-venue-resolution,f,f,f,f,f
doge,doge:1784226600000,1784226600000,1784227500000,2026-07-16T18:30:00Z,DOWN,NO,,0.0732658,official-venue-resolution,f,f,f,f,f
eth,eth:1784226600000,1784226600000,1784227500000,2026-07-16T18:30:00Z,DOWN,NO,,1872.2,official-venue-resolution,f,f,f,f,f
sol,sol:1784226600000,1784226600000,1784227500000,2026-07-16T18:30:00Z,DOWN,NO,,75.491,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784226600000,1784226600000,1784227500000,2026-07-16T18:30:00Z,DOWN,NO,,1.0892,official-venue-resolution,f,f,f,f,f
btc,btc:1784227500000,1784227500000,1784228400000,2026-07-16T18:45:00Z,UP,YES,,64222.23,official-venue-resolution,f,f,f,f,f
doge,doge:1784227500000,1784227500000,1784228400000,2026-07-16T18:45:00Z,UP,YES,,0.0733816,official-venue-resolution,f,f,f,f,f
eth,eth:1784227500000,1784227500000,1784228400000,2026-07-16T18:45:00Z,UP,YES,,1875.17,official-venue-resolution,f,f,f,f,f
sol,sol:1784227500000,1784227500000,1784228400000,2026-07-16T18:45:00Z,UP,YES,,75.6945,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784227500000,1784227500000,1784228400000,2026-07-16T18:45:00Z,UP,YES,,1.0926,official-venue-resolution,f,f,f,f,f
btc,btc:1784228400000,1784228400000,1784229300000,2026-07-16T19:00:00Z,DOWN,NO,,64194.06,official-venue-resolution,f,f,f,f,f
doge,doge:1784228400000,1784228400000,1784229300000,2026-07-16T19:00:00Z,DOWN,NO,,0.0733298,official-venue-resolution,f,f,f,f,f
eth,eth:1784228400000,1784228400000,1784229300000,2026-07-16T19:00:00Z,DOWN,NO,,1872.88,official-venue-resolution,f,f,f,f,f
sol,sol:1784228400000,1784228400000,1784229300000,2026-07-16T19:00:00Z,DOWN,NO,,75.6342,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784228400000,1784228400000,1784229300000,2026-07-16T19:00:00Z,UP,YES,,1.0936,official-venue-resolution,f,f,f,f,f
btc,btc:1784229300000,1784229300000,1784230200000,2026-07-16T19:15:00Z,UP,YES,,64226.16,official-venue-resolution,f,f,f,f,f
doge,doge:1784229300000,1784229300000,1784230200000,2026-07-16T19:15:00Z,UP,YES,,0.0733516,official-venue-resolution,f,f,f,f,f
eth,eth:1784229300000,1784229300000,1784230200000,2026-07-16T19:15:00Z,UP,YES,,1873.65,official-venue-resolution,f,f,f,f,f
sol,sol:1784229300000,1784229300000,1784230200000,2026-07-16T19:15:00Z,UP,YES,,75.7455,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784229300000,1784229300000,1784230200000,2026-07-16T19:15:00Z,UP,YES,,1.094,official-venue-resolution,f,f,f,f,f
btc,btc:1784230200000,1784230200000,1784231100000,2026-07-16T19:30:00Z,DOWN,NO,,64157.35,official-venue-resolution,f,f,f,f,f
doge,doge:1784230200000,1784230200000,1784231100000,2026-07-16T19:30:00Z,DOWN,NO,,0.0732485,official-venue-resolution,f,f,f,f,f
eth,eth:1784230200000,1784230200000,1784231100000,2026-07-16T19:30:00Z,DOWN,NO,,1872.29,official-venue-resolution,f,f,f,f,f
sol,sol:1784230200000,1784230200000,1784231100000,2026-07-16T19:30:00Z,UP,YES,,75.7692,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784230200000,1784230200000,1784231100000,2026-07-16T19:30:00Z,UP,YES,,1.0968,official-venue-resolution,f,f,f,f,f
btc,btc:1784231100000,1784231100000,1784232000000,2026-07-16T19:45:00Z,UP,YES,,64218.76,official-venue-resolution,f,f,f,f,f
doge,doge:1784231100000,1784231100000,1784232000000,2026-07-16T19:45:00Z,DOWN,NO,,0.0731219,official-venue-resolution,f,f,f,f,f
eth,eth:1784231100000,1784231100000,1784232000000,2026-07-16T19:45:00Z,UP,YES,,1873.81,official-venue-resolution,f,f,f,f,f
sol,sol:1784231100000,1784231100000,1784232000000,2026-07-16T19:45:00Z,UP,YES,,75.8035,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784231100000,1784231100000,1784232000000,2026-07-16T19:45:00Z,UP,YES,,1.0968,official-venue-resolution,f,f,f,f,f
btc,btc:1784232000000,1784232000000,1784232900000,2026-07-16T20:00:00Z,DOWN,NO,,64145.91,official-venue-resolution,f,f,f,f,f
doge,doge:1784232000000,1784232000000,1784232900000,2026-07-16T20:00:00Z,DOWN,NO,,0.0730756,official-venue-resolution,f,f,f,f,f
eth,eth:1784232000000,1784232000000,1784232900000,2026-07-16T20:00:00Z,DOWN,NO,,1871.47,official-venue-resolution,f,f,f,f,f
sol,sol:1784232000000,1784232000000,1784232900000,2026-07-16T20:00:00Z,DOWN,NO,,75.7,official-venue-resolution,f,f,f,f,f
xrp,xrp:1784232000000,1784232000000,1784232900000,2026-07-16T20:00:00Z,DOWN,NO,,1.0958,official-venue-resolution,f,f,f,f,f
