asset,slot_key,slot_start_ts,slot_start_utc,seconds_before_end,captured_at,sample_lag_ms,polymarket_resolution,kalshi_resolution,outcome_mismatch,fatal_poly_up_kalshi_no,fatal_poly_down_kalshi_yes,model_available,model_reason,execution_usable,execution_reason,p_fatal_poly_up_kalshi_no,p_fatal_poly_down_kalshi_yes,p_double_poly_up_kalshi_no,p_fatal_upper95_poly_up_kalshi_no,p_fatal_upper95_poly_down_kalshi_yes,observation_count,chainlink_age_ms,cf_age_ms,source_skew_ms,model_version
bnb,bnb:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997586296,13704,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
bnb,bnb:1784997000000,1784997000000,2026-07-25T16:30:00Z,180,1784997708311,11689,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
bnb,bnb:1784997000000,1784997000000,2026-07-25T16:30:00Z,120,1784997768318,11682,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
bnb,bnb:1784997000000,1784997000000,2026-07-25T16:30:00Z,60,1784997829319,10681,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
bnb,bnb:1784997000000,1784997000000,2026-07-25T16:30:00Z,30,1784997869325,675,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
btc,btc:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997590602,9398,UP,YES,f,f,f,t,,t,,1.7308213081762825e-09,9.050266857849832e-05,9.050266857849832e-05,0.027987459491788328,0.028077960429545516,900,1602,602,1000,structural-ewma-gaussian-v1-uncalibrated
btc,btc:1784997000000,1784997000000,2026-07-25T16:30:00Z,180,1784997711619,8381,UP,YES,f,f,f,t,,t,,4.332547998246401e-14,2.6074838518964283e-15,2.6074838518964283e-15,0.02740889554917711,0.02740889554913639,900,1619,619,1000,structural-ewma-gaussian-v1-uncalibrated
btc,btc:1784997000000,1784997000000,2026-07-25T16:30:00Z,120,1784997772617,7383,UP,YES,f,f,f,t,,f,chainlink_stale,0,0,0,0.026174782674728867,0.026174782674728867,900,2617,617,2000,structural-ewma-gaussian-v1-uncalibrated
btc,btc:1784997000000,1784997000000,2026-07-25T16:30:00Z,60,1784997833618,6382,UP,YES,f,f,f,t,,t,,0,0,0,0.025980193062158777,0.025980193062158777,900,1618,618,1000,structural-ewma-gaussian-v1-uncalibrated
btc,btc:1784997000000,1784997000000,2026-07-25T16:30:00Z,30,1784997869623,377,UP,YES,f,f,f,t,,t,,0,0,0,0.025456136851553283,0.025456136851553283,900,1623,623,1000,structural-ewma-gaussian-v1-uncalibrated
doge,doge:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997594931,5069,UP,YES,f,f,f,t,,t,,0.012353674395486024,0.04200461581891166,0.04200461581891166,0.03395751481583022,0.06360845623925585,900,1931,931,1000,structural-ewma-gaussian-v1-uncalibrated
doge,doge:1784997000000,1784997000000,2026-07-25T16:30:00Z,180,1784997715967,4033,UP,YES,f,f,f,t,,t,,0.017492485973813754,0.01711766663345868,0.01711766663345868,0.03860288090701214,0.03822806156665706,900,1967,967,1000,structural-ewma-gaussian-v1-uncalibrated
doge,doge:1784997000000,1784997000000,2026-07-25T16:30:00Z,120,1784997776969,3031,UP,YES,f,f,f,t,,t,,0.00016478427212102717,0.00015873196242717204,0.00015873196242717204,0.02108099507535859,0.021074942765664732,900,1969,969,1000,structural-ewma-gaussian-v1-uncalibrated
doge,doge:1784997000000,1784997000000,2026-07-25T16:30:00Z,60,1784997836974,3026,UP,YES,f,f,f,t,,t,,6.8019224960688815e-12,0,0,0.021016177923650504,0.02101617791684858,900,1974,974,1000,structural-ewma-gaussian-v1-uncalibrated
doge,doge:1784997000000,1784997000000,2026-07-25T16:30:00Z,30,1784997869979,21,UP,YES,f,f,f,t,,t,,0,0,0,0.02081129731432148,0.02081129731432148,900,1979,979,1000,structural-ewma-gaussian-v1-uncalibrated
eth,eth:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997599250,750,UP,YES,f,f,f,t,,t,,1.5158103522399748e-09,1.430917926827505e-05,1.430917926827505e-05,0.020899248711399365,0.020913556374857287,900,2250,250,2000,structural-ewma-gaussian-v1-uncalibrated
eth,eth:1784997000000,1784997000000,2026-07-25T16:30:00Z,180,1784997719265,735,UP,YES,f,f,f,t,,t,,0,5.676273414548344e-11,5.676273414548344e-11,0.020789677952779664,0.020789678009542397,900,2265,265,2000,structural-ewma-gaussian-v1-uncalibrated
eth,eth:1784997000000,1784997000000,2026-07-25T16:30:00Z,120,1784997779273,727,UP,YES,f,f,f,t,,t,,0,0,0,0.02071814228260024,0.02071814228260024,900,2273,273,2000,structural-ewma-gaussian-v1-uncalibrated
eth,eth:1784997000000,1784997000000,2026-07-25T16:30:00Z,60,1784997839281,719,UP,YES,f,f,f,t,,t,,0,0,0,0.020906305104596276,0.020906305104596276,900,2281,281,2000,structural-ewma-gaussian-v1-uncalibrated
eth,eth:1784997000000,1784997000000,2026-07-25T16:30:00Z,30,1784997868285,1715,UP,YES,f,f,f,t,,t,,0,0,0,0.020894676668065097,0.020894676668065097,900,2285,285,2000,structural-ewma-gaussian-v1-uncalibrated
hype,hype:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997589903,10097,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
hype,hype:1784997000000,1784997000000,2026-07-25T16:30:00Z,180,1784997713904,6096,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
hype,hype:1784997000000,1784997000000,2026-07-25T16:30:00Z,120,1784997773916,6084,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
hype,hype:1784997000000,1784997000000,2026-07-25T16:30:00Z,60,1784997833931,6069,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
hype,hype:1784997000000,1784997000000,2026-07-25T16:30:00Z,30,1784997869939,61,UP,YES,f,f,f,f,chainlink_unavailable,f,chainlink_unavailable,,,,,,0,,,,structural-ewma-gaussian-v1-uncalibrated
sol,sol:1784997000000,1784997000000,2026-07-25T16:30:00Z,300,1784997586482,13518,UP,YES,f,f,f,t,,t,,8.146740768124554e-12,2.9692290921124526e-07,2.9692290921124526e-07,0.021756369025742187,0.021756665940504658,900,2482,482,2000,structural-ewma-gaussian-v1-uncalibrated
